mois,profil,nb_utilisateurs,taux_utilisation
Jan,Étudiants,320,60
Jan,Enseignants,45,55
Jan,Admins,12,70
Feb,Étudiants,340,62
Feb,Enseignants,48,57
Feb,Admins,13,72
Mar,Étudiants,360,63
Mar,Enseignants,50,58
Mar,Admins,14,73
Apr,Étudiants,370,64
Apr,Enseignants,52,60
Apr,Admins,14,74
Mai,Étudiants,380,65
Mai,Enseignants,54,61
Mai,Admins,15,75
Jun,Étudiants,390,66
Jun,Enseignants,55,62
Jun,Admins,15,76
Jul,Étudiants,400,67
Jul,Enseignants,56,63
Jul,Admins,16,77
Aug,Étudiants,420,68
Aug,Enseignants,58,64
Aug,Admins,16,78
Sep,Étudiants,440,69
Sep,Enseignants,60,65
Sep,Admins,17,79
Oct,Étudiants,460,70
Oct,Enseignants,62,66
Oct,Admins,17,80
Nov,Étudiants,480,71
Nov,Enseignants,64,67
Nov,Admins,18,81
